ID Pedido,Cliente,Logradouro,Numero,Bairro,CEP,Volume
PED-01,Cliente 1,Rua Joaquim Floriano,100,Itaim Bibi,04534-000,1
PED-02,Cliente 2,Rua Funchal,200,Vila Olimpia,04551060,2
PED-03,Cliente 3,Rua Tutoia,300,Paraiso,04007-000,1
PED-04,Cliente 4,Rua dos Pinheiros,500,Pinheiros,05422-001,1
PED-05,Cliente 5,Rua Doutor Homem de Melo,400,Perdizes,05007001,3
PED-06,Cliente 6,Rua Bela Cintra,1000,Consolacao,01415-000,1
PED-07,Cliente 7,Rua Domingos de Morais,800,Vila Mariana,04010-000,2
PED-08,Cliente 8,Rua Harmonia,250,Vila Madalena,05435000,1
PED-09,Cliente 9,Avenida Engenheiro Luis Carlos Berrini,105,Brooklin,04571-010,2
PED-10,Cliente 10,Avenida Moema,300,Moema,04077-020,1
